id,group_id
269,16
270,16
271,17
272,17
273,17
274,17
275,28
276,28
277,18
278,18
279,29
280,29
281,19
282,19
283,20
284,31
285,20
286,20
287,32
288,32
289,21
290,21
291,33
292,33
293,22
294,22
295,34
296,34
297,23
298,23
299,35
300,35
301,24
302,24
303,25
304,25
305,25
306,25
307,26
308,26
309,26
310,27
311,27
312,27
313,28
314,28
315,28
316,28
317,28
318,28
319,29
320,29
321,29
322,29
323,30
324,30
325,31
326,31
327,31
328,31
329,32
330,32
331,32
332,32
333,33
334,33
335,33
336,33
337,34
338,34
339,34
340,34
341,35
342,35
343,35
344,24
345,24
346,25
347,25
348,25
349,25
350,26
351,26
352,26
353,26
354,27
355,27
356,27
357,28
358,28
359,28
360,28
361,28
362,29
363,29
364,29
365,29
366,30
367,30
368,30
369,30
370,31
371,31
372,32
373,32
374,32
375,32
376,33
377,33
378,33
379,33
380,34
381,34
382,34
383,34
384,35
385,35
386,35
387,24
388,24
389,24
390,25
391,25
392,25
393,25
394,26
395,26
396,26
397,26
398,27
399,27
400,27
401,28
402,28
403,28
404,28
405,28
406,29
407,29
408,29
409,29
410,30
411,30
412,30
413,30
414,31
415,31
416,32
417,32
418,32
419,32
420,33
421,33
422,33
423,33
424,34
425,34
426,34
427,34
428,35
429,35
430,35
431,24
432,24
433,24
434,37
435,24
436,25
437,25
438,25
439,25
440,26
441,26
442,39
443,40
444,27
445,27
446,40
447,41
448,28
449,28
450,28
451,28
452,29
453,29
454,42
455,42
456,30
457,30
458,43
459,43
460,31
461,31
462,45
463,45
464,32
465,32
466,33
467,33
468,33
469,33
470,47
471,47
472,34
473,34
474,47
475,35
476,36
477,36
478,36
479,37
480,37
481,37
482,37
483,38
484,38
485,38
486,38
487,39
488,39
489,39
490,40
491,40
492,40
493,40
494,41
495,41
496,41
497,41
498,41
499,42
500,42
501,42
502,42
503,43
504,43
505,43
506,43
507,44
508,44
509,45
510,45
511,45
512,45
513,46
514,46
515,46
516,46
517,47
518,47
519,47
520,47
521,47
522,36
523,36
524,36
525,36
526,37
527,37
528,37
529,37
530,38
531,38
532,38
533,38
534,39
535,39
536,39
537,40
538,40
539,40
540,40
541,40
542,41
543,41
544,41
545,41
546,42
547,42
548,42
549,42
550,43
551,43
552,43
553,43
554,44
555,44
556,45
557,45
558,45
559,45
560,46
561,46
562,46
563,46
564,47
565,47
566,47
567,47
568,36
569,36
570,36
571,36
572,37
573,37
574,37
575,37
576,38
577,38
578,38
579,38
580,39
581,39
582,39
583,40
584,40
585,40
586,40
587,40
588,41
589,41
590,41
591,41
592,42
593,42
